city,state,city_geoid,LAT,LON,nearest_bg_geoid,walkability_index
Abanda CDP,AL,010179538002,3907472.2399755125,-9520825.317341542,010179538002,1.833333333
Abbeville city,AL,010670302002,3706306.1803077734,-9491001.935202098,010670302002,7.333333333
Adamsville city,AL,010730121041,3975526.831960262,-9681626.099153442,010730121041,5.0
Addison town,AL,011339655012,4056049.709338869,-9704611.013653968,011339655012,3.5
Akron town,AL,010650401002,3879262.9768559914,-9767272.198424047,,
Alabaster city,AL,011170303063,3923790.6901567914,-9665101.054703655,011170303063,9.333333333
Albertville city,AL,010950309031,4064188.917579281,-9596926.772152038,010950309031,8.0
Alexander City city,AL,011239623012,3884255.013570398,-9566862.605954008,,
Alexandria CDP,AL,010150025032,3996730.899174097,-9559228.203955913,,
Aliceville city,AL,011070504013,3911735.4007576336,-9813853.282749038,,
Allgood town,AL,010090501041,4016404.786405532,-9630929.199295351,,
Altoona town,AL,010550111003,4034176.1950207786,-9607448.579102326,010550111003,4.666666667
Andalusia city,AL,010399620004,3673000.838998914,-9626690.375724927,010399620004,10.66666667
Anderson town,AL,010770118013,4152427.609849107,-9715327.741032636,010770118013,4.833333333
Anniston city,AL,010150002001,3985040.7106354237,-9552424.690637102,010150002001,7.5
Arab city,AL,010950304013,4073521.2805629885,-9629265.86346392,010950304013,8.333333333
Ardmore town,AL,010830201032,4162228.4996458297,-9665762.515117947,,
Argo city,AL,011150405042,3987388.3667347394,-9629723.831849042,,
Ariton town,AL,010450201001,3710626.989103481,-9541534.304852797,010450201001,4.666666667
Arley town,AL,011339655023,4039042.988891476,-9709044.535013791,,
Ashford city,AL,010690419021,3656835.24790998,-9488454.388655294,,
Ashland town,AL,010279590001,3931182.6502666436,-9554964.444819551,010279590001,6.5
Ashville city,AL,011150404011,4006694.418106436,-9603534.140528072,011150404011,4.333333333
Athens city,AL,010830209001,4133891.3828407126,-9679318.66874828,010830209001,8.666666667
Atmore city,AL,010539704002,3648872.1086345725,-9735757.53926098,010539704002,6.0
Attalla city,AL,010550102021,4026947.6969916336,-9586949.985428672,,
Auburn city,AL,010810408011,3843361.726950311,-9517231.590220263,,
Autaugaville town,AL,010010211004,3820226.140510105,-9646808.145420577,,
Avon town,AL,010690419021,3656112.1781038716,-9493238.343772136,,
Axis CDP,AL,010970057022,3622645.6857190067,-9798633.236689817,,
Babbie town,AL,010399623001,3672042.826485554,-9609035.772402057,010399623001,3.333333333
Baileyton town,AL,010439641001,4063882.896433124,-9641246.178382583,010439641001,5.5
Bakerhill town,AL,010059505003,3734063.7932294896,-9495041.385564512,010059505003,3.5
Ballplay CDP,AL,010550106023,4031897.0951228007,-9551376.840270264,,
Banks town,AL,011091886001,3738823.5081886686,-9555268.124390434,011091886001,1.5
Bay Minette city,AL,010030105002,3619047.2236991576,-9772883.479996463,010030105002,6.666666667
Bayou La Batre city,AL,010970073004,3556049.5516070304,-9825422.38346871,010970073004,6.5
Bear Creek town,AL,010939640012,4063158.6882936866,-9764210.91242723,,
Beatrice town,AL,010990756001,3728353.974829847,-9708066.593287172,010990756001,3.166666667
Beaverton town,AL,010750300002,4020132.5952069717,-9798539.50567857,010750300002,1.833333333
Belgreen CDP,AL,010599731002,4092700.535915346,-9780717.255202567,010599731002,2.833333333
Belk town,AL,010570202004,3982121.2903098925,-9788168.091360344,010570202004,10.66666667
Bellamy CDP,AL,011190115001,3824328.014084556,-9810751.587777063,011190115001,3.333333333
Belle Fontaine CDP,AL,010970071031,3566625.9322004924,-9807908.376662714,010970071031,6.333333333
Benton town,AL,010857810003,3803799.5762601863,-9664485.012641605,010857810003,3.5
Berlin town,AL,010439642013,4053670.81214551,-9656849.497448603,,
Berry town,AL,010570204002,3984135.5683098203,-9752623.889269542,010570204002,6.5
Bessemer city,AL,010730143012,3944633.253508634,-9681625.54255599,010730143012,7.5
Billingsley town,AL,010010210003,3850884.0535877272,-9652147.139518512,,
Birmingham city,AL,010730024022,3965488.3770490396,-9662201.849885436,,
Black town,AL,010610504004,3634018.028874379,-9545025.172764583,010610504004,4.166666667
Blountsville town,AL,010090505013,4038989.7680804515,-9638477.662646554,,
Blue Ridge CDP,AL,010510307023,3828978.64858522,-9593784.890843889,,
Blue Springs town,AL,010059504001,3719222.466042219,-9518208.975349426,010059504001,2.0
Boaz city,AL,010950312004,4055556.9583543134,-9590747.538537595,010950312004,10.83333333
Boligee town,AL,010630602001,3864560.899726107,-9799297.814049853,010630602001,3.833333333
Bon Air town,AL,011210113012,3929779.8172532185,-9609897.162621817,,
Bon Secour CDP,AL,010030114104,3544523.34358084,-9765434.42495054,,
Boykin CDP,AL,011310347001,3772289.2586311223,-9717561.811893364,011310347001,2.166666667
Brantley town,AL,010419639001,3708564.7896917416,-9602061.272345386,010419639001,4.833333333
Brantleyville CDP,AL,011170304082,3924449.0771658346,-9671718.107875388,011170304082,5.5
Brent city,AL,010070100091,3887991.7130789575,-9703952.447546434,,
Brewton city,AL,010539702002,3646935.726732928,-9693320.879578222,010539702002,9.666666667
Bridgeport city,AL,010719502001,4156994.9790469278,-9542725.868682247,010719502001,4.333333333
Brighton city,AL,010730136015,3953793.3999771094,-9678718.10009545,010730136015,6.5
Brilliant town,AL,010939645002,4032249.535311723,-9770405.619450895,010939645002,4.5
Bristow Cove CDP,AL,010550111001,4043476.5112020303,-9600303.42626627,010550111001,2.833333333
Brook Highland CDP,AL,011170302213,3953591.1646122807,-9649759.225121507,,
Brookside town,AL,010730116001,3979844.9024298643,-9674366.621200342,010730116001,4.0
Brookwood town,AL,011250106012,3927182.420119939,-9721696.77437888,011250106012,5.833333333
Broomtown CDP,AL,010199557021,4078016.7185461866,-9521391.154313244,010199557021,2.5
Brundidge city,AL,011091893003,3726303.160365958,-9553165.967126295,011091893003,3.666666667
Bucks CDP,AL,010970058001,3634941.656685263,-9799052.354572654,010970058001,4.166666667
Butler town,AL,010239568005,3775981.6685328376,-9819579.22339697,010239568005,7.333333333
Calera city,AL,011170305042,3911551.042237221,-9656480.918614587,,
Calvert CDP,AL,011290442003,3652231.5913563953,-9798514.013515178,011290442003,2.833333333
Camden city,AL,011310348024,3763112.811602313,-9716961.465879517,,
Camp Hill town,AL,011239626002,3868433.307677362,-9535163.713033678,011239626002,4.166666667
Carbon Hill city,AL,011270211001,4014710.5833268017,-9742913.15612917,011270211001,5.0
Cardiff town,AL,010730116001,3981539.4474604204,-9677074.245174907,010730116001,4.0
Carlisle-Rockledge CDP,AL,010550110022,4044180.3718065075,-9587287.95140272,010550110022,2.833333333
Carlton CDP,AL,010259580032,3678100.944551493,-9777821.612608053,,
Carolina town,AL,010399629002,3663195.4591383208,-9631473.774244314,010399629002,3.333333333
Carrollton town,AL,011070503001,3930119.027185171,-9806698.445117282,011070503001,6.166666667
Castleberry town,AL,010359604003,3671729.4984848103,-9688038.324462118,010359604003,3.0
Catherine CDP,AL,011310347001,3787773.2182159293,-9737113.41065884,011310347001,2.166666667
Cedar Bluff town,AL,010199557011,4058572.4827754507,-9527675.473526997,010199557011,6.833333333
Center Point city,AL,010730118042,3981086.5370585243,-9649681.858075406,010730118042,14.5
Centre city,AL,010199560001,4049372.6731417207,-9536928.126962751,010199560001,3.333333333
Centreville city,AL,010070100081,3889858.784596596,-9699494.658537617,,
Chatom town,AL,011290440002,3693827.6096462533,-9823501.899613544,011290440002,7.5
Chelsea city,AL,011170302182,3936391.66815251,-9644179.558284475,,
Cherokee town,AL,010330210003,4131002.09956384,-9792284.574810388,010330210003,6.666666667
Cherokee Ridge town,AL,010950303012,4085463.791629118,-9636184.25849723,,
Chickasaw city,AL,010970053001,3603103.0104916506,-9804987.019265825,010970053001,5.666666667
Childersburg city,AL,011210113011,3934200.8394667804,-9611421.015131284,,
Choccolocco CDP,AL,010150020021,3984272.799731887,-9540880.85944184,,
Chunchula CDP,AL,010970059003,3623297.5036079283,-9819291.907791235,,
Citronelle city,AL,010970060003,3645387.8278947584,-9823927.585346337,010970060003,7.166666667
Clanton city,AL,010210601041,3874824.1225294564,-9642437.964851016,,
Clay city,AL,010730111173,3988132.936962258,-9641178.718771162,,
Clayhatchee town,AL,010450212002,3663556.7411585394,-9542471.281006804,010450212002,4.166666667
Clayton city,AL,010059502003,3747867.5546710216,-9513414.22224198,010059502003,5.0
Cleveland town,AL,010090502001,4029094.616349527,-9635965.627017312,010090502001,3.166666667
Clio city,AL,010059504003,3725109.34553023,-9530177.267763086,010059504003,2.833333333
Coaling city,AL,011250107061,3917877.2543569817,-9723744.941689987,,
Coats Bend CDP,AL,010550107001,4038645.0483978507,-9559516.96671503,010550107001,3.5
Coffee Springs town,AL,010610502001,3654304.884366322,-9563557.418952866,010610502001,2.833333333
Coffeeville town,AL,010259577001,3732707.3793490482,-9805694.120671345,010259577001,3.333333333
Coker town,AL,011250103023,3927702.8381113084,-9760640.896357492,011250103023,3.833333333
Collinsville city,AL,010499608002,4064740.3691581464,-9558849.940326199,010499608002,7.0
Colony town,AL,010439655011,4020935.2500683465,-9673886.50023655,,
Columbia town,AL,010690417001,3671165.7887821263,-9474424.347952655,010690417001,6.0
Columbiana city,AL,011170307014,3920743.6734038237,-9642006.4905047,,
Concord CDP,AL,010730140012,3956786.9233616088,-9689296.234708082,010730140012,4.333333333
Coosada town,AL,010510312001,3828515.905268554,-9609826.808703635,010510312001,5.5
Cordova town,AL,011270215003,3996860.6487262743,-9706994.586590832,011270215003,3.5
Cottondale CDP,AL,011250108041,3920955.846498409,-9735430.593916519,011250108041,8.166666667
Cottonwood town,AL,010690420002,3639768.3469142467,-9495503.584090287,010690420002,2.833333333
County Line town,AL,010090507021,4004510.8336287495,-9653036.916208426,,
Courtland town,AL,010799792023,4119118.0933029535,-9721296.46948999,,
Cowarts town,AL,010690419011,3659563.43928453,-9496640.044771794,,
Creola town,AL,010970038001,3616428.728087468,-9797176.732472278,010970038001,3.0
Crossville town,AL,010499607021,4066824.7861472443,-9573446.931195447,,
Cuba town,AL,011190116002,3821303.7428567777,-9837837.512318412,011190116002,4.833333333
Cullman city,AL,010439649013,4052576.1432262543,-9667057.606073836,,
Cullomburg CDP,AL,010239570001,3725704.0791136753,-9828595.322914792,010239570001,2.5
Cusseta town,AL,010179543003,3867150.1319417404,-9496194.766808622,010179543003,6.833333333
Dadeville city,AL,011239624003,3872246.1843863423,-9548563.017501483,011239624003,8.5
Daleville city,AL,010450212001,3670668.5419651666,-9541384.023540225,010450212001,5.333333333
Daphne city,AL,010030107102,3584522.5887065167,-9781875.979782235,,
Dauphin Island town,AL,010970072032,3535843.3154948694,-9815180.656357257,,
Daviston town,AL,011239619001,3902850.8224456646,-9532769.898703659,011239619001,2.0
Dayton town,AL,010919731001,3809467.998703396,-9756215.278681513,010919731001,4.166666667
Deatsville town,AL,010510301031,3840882.6081358814,-9616786.057990067,,
Decatur city,AL,011030009001,4106003.2191055296,-9683671.48347728,011030009001,9.333333333
Deer Park CDP,AL,011290443002,3661141.1053341036,-9832630.543136558,011290443002,1.333333333
Delta CDP,AL,010279589001,3953923.2006581435,-9537398.117852882,010279589001,3.166666667
Demopolis city,AL,010919729023,3829090.0475594737,-9776821.073024802,,
Detroit town,AL,010750300001,4032478.9496436995,-9814798.0512674,010750300001,3.166666667
Dodge City town,AL,010439655022,4034614.282538035,-9672052.28898675,,
Dora city,AL,011270217001,3992352.811873069,-9693845.083060369,011270217001,4.0
Dothan city,AL,010690404003,3663136.6134863286,-9507444.046631245,010690404003,10.33333333
Double Springs town,AL,011339656023,4048913.840034165,-9728148.74074577,,
Douglas town,AL,010950310012,4051417.402810975,-9609475.373071201,,
Dozier town,AL,010419638001,3698561.281004245,-9614579.260404581,010419638001,3.833333333
Dunnavant CDP,AL,011170309003,3961215.588631987,-9633616.006525138,011170309003,3.166666667
Dutton town,AL,010719511013,4110486.74984979,-9563663.3951081,,
Eagle Point CDP,AL,011170303483,3948640.034775296,-9648812.007574348,,
East Brewton city,AL,010539698024,3644630.0704604196,-9690956.676232755,,
East Point CDP,AL,010439642013,4054505.8457030547,-9661669.40876097,,
Eclectic town,AL,010510305003,3847646.242637538,-9578047.209152479,010510305003,4.833333333
